pair_id,prompt
12,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Sam is heating Reagent X in a beaker. If the heat is not stopped at the right time, the test tube would explode. Sam does not stop the heat. The test tube explodes.		Is Sam inaction a necessary cause for explosion?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
13,"You are an expert in counterfactual reasoning. Given an event, use the principle of minimal change to answer the following question.		Input: Sam throws a poisonous test tube towards Agent X, who, after seeing it, ducks. The test tube misses Agent X and he survives.		Is Sam a necessary cause for Agent X's survival?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
0,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: There is a fire in the chemistry lab. A can of water would douse the fire. Agents X and Y both spray a can of water each, dousing the fire.		Is Agent X a sufficient cause for fire being doused?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
1,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Reagent X is being added to a tank. At each time interval, a drop of Reagent X is being added. At one point the tank overflows.		Is the last drop a sufficient cause for  tank overflow?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
2,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input:  Reagent X is added to a mixture. The mixture becomes hot, otherwise the mixture would have remained cold. In both cases (hot or cold), the mixture would have turned to crystal. The mixture turns to crystal.		Is Reagent X a sufficient cause for crystal formation?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
3,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input:  Reagent X is added to a mixture, which leads to an explosion and kills Sam. Otherwise, Reagent Y in Sam's pocket would have infected him and killed him as well.		Is Reagent X a sufficient cause for Sam's death?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
4,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Any of Reagent X or Reagent Y can be added to a mixture to convert it into a crystal. Reagent X is added first and the mixture turns to crystal. Reagent Y is added later and but does not mix since the crystal is already formed.		Is Reagent X a sufficient cause for crystal formation?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
5,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Reagent X is added to a beaker containing a  crystal. If Reagent X touches the crystal, the crystal dissolves. If Reagent X does not touch the crystal, Sam adds Reagent Y which leads to the crystal dissolving.		Is Reagent X a sufficient cause for crystal dissolving?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
6,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Sam reaches out and catches the falling test tube containing a contaminating reagent. The next thing on the test tube’s trajectory was a soft foam mattress which would have prevented the test tube from reaching the floor. Beyond that there was the floor.		Is Sam a sufficient cause for floor being contaminated?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
7,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Sam intends to add reagent X to a mixture that would convert it to a crystal. Riya intends to prevent Sam from adding the reagent. Riya tries to stop Sam from adding the reagent, but Riya is stopped by Frank. Sam adds the reagent and the crystal is formed.		Is Sam a sufficient cause for crystal formation?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
8,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Sam intents to put Reagent X in a mixture to make it explode. However, Sam does not put the reagent in the mixture. Bob puts an anti-explosion Reagent Y into the mixture. The mixture would explode if Reagent X is added without the addition of Reagent Y. Mixture does not explode.		Is Sam a sufficient cause for mixture not exploding?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
9,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: A test tube contains a mixture. Sam puts sand in the mixture. Adding sand to the mixture protects it against explosion. Only if Sam puts sand in the mixture, Riya will add Reagent Y to the mixture. Adding Reagent Y to a mixture makes it explode, unless the mixture already contains sand. There is no explosion.		Is Sam a sufficient cause for avoiding explosion?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
10,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Reagent X and Y are both added to a mixture simultaneously and a crystal is formed. The crystal only forms if both reagents are added at the same time.		Is Reagent X a sufficient cause for crystal formation?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
11,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: There is a test tube on the left and a test tube on the right. Sam and Riya both order Frank to break the left test tube. Carol throws the left test tube, breaking it. Commands from Sam always trump commands form Riya (e.g. if Riya would have ordered to break the right test tube, Frank would still have thrown the left one.). Without a command Frank would not have acted at all.		Is Sam a sufficient cause for test tube breaking?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
12,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Sam is heating Reagent X in a beaker. If the heat is not stopped at the right time, the test tube would explode. Sam does not stop the heat. The test tube explodes.		Is Sam inaction a sufficient cause for explosion?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
13,"You are an expert in counterfactual reasoning. Given an event, use the principle of multiple sufficient causes to answer the following question.		Input: Sam throws a poisonous test tube towards Agent X, who, after seeing it, ducks. The test tube misses Agent X and he survives.		Is Sam a sufficient cause for Agent X's survival?		After your reasoning, provide the final answer within the tags <Answer>Yes/No</Answer>."
