pair_id,prompt,groundtruth
pair14,Does DLS T2-T3 cause Left T3 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair14,Does Left T3 Radiculopathy cause DLS T2-T3? Please answer in a single word: Yes or No.,No
pair15,Does Right T2 Radiculopathy cause Breast Backache? Please answer in a single word: Yes or No.,Yes
pair15,Does Breast Backache cause Right T2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair16,Does Left S1 Radiculopathy cause Left Achilles pain? Please answer in a single word: Yes or No.,Yes
pair16,Does Left Achilles pain cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair17,Does Right S2 Radiculopathy cause Right adductor tendonitis ? Please answer in a single word: Yes or No.,Yes
pair17,Does Right adductor tendonitis  cause Right S2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair18,Does Left C7 Radiculopathy cause Left Finger trouble? Please answer in a single word: Yes or No.,Yes
pair18,Does Left Finger trouble cause Left C7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair19,Does Right C6 Radiculopathy cause Right shoulder impingement? Please answer in a single word: Yes or No.,Yes
pair19,Does Right shoulder impingement cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair20,Does Left L2 Radiculopathy cause Left Hip pains? Please answer in a single word: Yes or No.,Yes
pair20,Does Left Hip pains cause Left L2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair21,Does Left T10 Radiculopathy cause IBS? Please answer in a single word: Yes or No.,Yes
pair21,Does IBS cause Left T10 Radiculopathy? Please answer in a single word: Yes or No.,No
pair22,Does Right L5 Radiculopathy cause Right Foot pain? Please answer in a single word: Yes or No.,Yes
pair22,Does Right Foot pain cause Right L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair23,Does Left C7 Radiculopathy cause Left Medial elbow pain? Please answer in a single word: Yes or No.,Yes
pair23,Does Left Medial elbow pain cause Left C7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair24,Does DLS C2-C3 cause Right C3 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair24,Does Right C3 Radiculopathy cause DLS C2-C3? Please answer in a single word: Yes or No.,No
pair25,Does Left S1 Radiculopathy cause Left Achillodyni? Please answer in a single word: Yes or No.,Yes
pair25,Does Left Achillodyni cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair26,Does Left L5 Radiculopathy cause Left Ischias? Please answer in a single word: Yes or No.,Yes
pair26,Does Left Ischias cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair27,Does Right C3 Radiculopathy cause Right Headache? Please answer in a single word: Yes or No.,Yes
pair27,Does Right Headache cause Right C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair28,Does Right S1 Radiculopathy cause Right Achilles pain? Please answer in a single word: Yes or No.,Yes
pair28,Does Right Achilles pain cause Right S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair29,Does Left S1 Radiculopathy cause Left Ischias? Please answer in a single word: Yes or No.,Yes
pair29,Does Left Ischias cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair30,Does Right C5 Radiculopathy cause Right Front Axle pain? Please answer in a single word: Yes or No.,Yes
pair30,Does Right Front Axle pain cause Right C5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair31,Does Right L2 Radiculopathy cause Right Lateral groin pain? Please answer in a single word: Yes or No.,Yes
pair31,Does Right Lateral groin pain cause Right L2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair32,Does Left C2 Radiculopathy cause Left Tinnitus? Please answer in a single word: Yes or No.,Yes
pair32,Does Left Tinnitus cause Left C2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair33,Does Right C5 Radiculopathy cause Right Shoulder trouble? Please answer in a single word: Yes or No.,Yes
pair33,Does Right Shoulder trouble cause Right C5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair34,Does Left S1 Radiculopathy cause Left rear thigh pain? Please answer in a single word: Yes or No.,Yes
pair34,Does Left rear thigh pain cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair35,Does Right C7 Radiculopathy cause Right Armband? Please answer in a single word: Yes or No.,Yes
pair35,Does Right Armband cause Right C7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair36,Does Right L5 Radiculopathy cause Right Knee trouble? Please answer in a single word: Yes or No.,Yes
pair36,Does Right Knee trouble cause Right L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair37,Does Right C7 Radiculopathy cause Right Wrist pain? Please answer in a single word: Yes or No.,Yes
pair37,Does Right Wrist pain cause Right C7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair38,Does DLS S1-S2 cause Right S2 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair38,Does Right S2 Radiculopathy cause DLS S1-S2? Please answer in a single word: Yes or No.,No
pair39,Does Left C4 Radiculopathy cause Left Neck pain? Please answer in a single word: Yes or No.,Yes
pair39,Does Left Neck pain cause Left C4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair40,Does Right C2 Radiculopathy cause neck pain? Please answer in a single word: Yes or No.,Yes
pair40,Does neck pain cause Right C2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair41,Does DLS C5-C6 cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair41,Does Right C6 Radiculopathy cause DLS C5-C6? Please answer in a single word: Yes or No.,No
pair42,Does Left C4 Radiculopathy cause Left Shoulder pain? Please answer in a single word: Yes or No.,Yes
pair42,Does Left Shoulder pain cause Left C4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair43,Does Right C8 Radiculopathy cause Right Medial elbow pain? Please answer in a single word: Yes or No.,Yes
pair43,Does Right Medial elbow pain cause Right C8 Radiculopathy? Please answer in a single word: Yes or No.,No
pair44,Does Left L5 Radiculopathy cause Backache? Please answer in a single word: Yes or No.,Yes
pair44,Does Backache cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair45,Does Right C3 Radiculopathy cause mouth? Please answer in a single word: Yes or No.,Yes
pair45,Does mouth cause Right C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair46,Does Left C6 Radiculopathy cause Intracapular pain? Please answer in a single word: Yes or No.,Yes
pair46,Does Intracapular pain cause Left C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair47,Does DLS L5-S1 cause Right S1 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair47,Does Right S1 Radiculopathy cause DLS L5-S1? Please answer in a single word: Yes or No.,No
pair48,Does Right L2 Radiculopathy cause Abdominal pain? Please answer in a single word: Yes or No.,Yes
pair48,Does Abdominal pain cause Right L2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair49,Does Left L5 Radiculopathy cause Left Obesity? Please answer in a single word: Yes or No.,Yes
pair49,Does Left Obesity cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair50,Does Left L5 Radiculopathy cause Left Hip joint? Please answer in a single word: Yes or No.,Yes
pair50,Does Left Hip joint cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair51,Does Left C8 Radiculopathy cause Left Elbow pain? Please answer in a single word: Yes or No.,Yes
pair51,Does Left Elbow pain cause Left C8 Radiculopathy? Please answer in a single word: Yes or No.,No
pair52,Does Left L5 Radiculopathy cause Left Medial knee joint pain? Please answer in a single word: Yes or No.,Yes
pair52,Does Left Medial knee joint pain cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair53,Does Right C6 Radiculopathy cause Right Shoulder pain? Please answer in a single word: Yes or No.,Yes
pair53,Does Right Shoulder pain cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair54,Does Right C6 Radiculopathy cause Intracapular pain? Please answer in a single word: Yes or No.,Yes
pair54,Does Intracapular pain cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair55,Does Left C3 Radiculopathy cause pharyngeal pain? Please answer in a single word: Yes or No.,Yes
pair55,Does pharyngeal pain cause Left C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair56,Does Right T9 Radiculopathy cause Breast Backache? Please answer in a single word: Yes or No.,Yes
pair56,Does Breast Backache cause Right T9 Radiculopathy? Please answer in a single word: Yes or No.,No
pair57,Does Right L5 Radiculopathy cause Right Ischias? Please answer in a single word: Yes or No.,Yes
pair57,Does Right Ischias cause Right L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair58,Does Left L4 Radiculopathy cause Left Thigh pain? Please answer in a single word: Yes or No.,Yes
pair58,Does Left Thigh pain cause Left L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair59,Does Right S1 Radiculopathy cause Coccydyni? Please answer in a single word: Yes or No.,Yes
pair59,Does Coccydyni cause Right S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair60,Does DLS T7-T8 cause Left T8 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair60,Does Left T8 Radiculopathy cause DLS T7-T8? Please answer in a single word: Yes or No.,No
pair61,Does Left L2 Radiculopathy cause Left Lumbago? Please answer in a single word: Yes or No.,Yes
pair61,Does Left Lumbago cause Left L2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair62,Does DLS T11-T12 cause Right T12 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair62,Does Right T12 Radiculopathy cause DLS T11-T12? Please answer in a single word: Yes or No.,No
pair63,Does Left L2 Radiculopathy cause Lower abdominal pain? Please answer in a single word: Yes or No.,Yes
pair63,Does Lower abdominal pain cause Left L2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair64,Does Right C6 Radiculopathy cause Right Thumbs up? Please answer in a single word: Yes or No.,Yes
pair64,Does Right Thumbs up cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair65,Does Left T1 Radiculopathy cause Breast Backache? Please answer in a single word: Yes or No.,Yes
pair65,Does Breast Backache cause Left T1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair66,Does Left L5 Radiculopathy cause Left Front knee pain? Please answer in a single word: Yes or No.,Yes
pair66,Does Left Front knee pain cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair67,Does Right C3 Radiculopathy cause Right Collarbone pain? Please answer in a single word: Yes or No.,Yes
pair67,Does Right Collarbone pain cause Right C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair68,Does Right T7 Radiculopathy cause Toracal dysfunction? Please answer in a single word: Yes or No.,Yes
pair68,Does Toracal dysfunction cause Right T7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair69,Does Left T8 Radiculopathy cause Abdominal pain? Please answer in a single word: Yes or No.,Yes
pair69,Does Abdominal pain cause Left T8 Radiculopathy? Please answer in a single word: Yes or No.,No
pair70,Does Left S1 Radiculopathy cause Left Ham? Please answer in a single word: Yes or No.,Yes
pair70,Does Left Ham cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair71,Does Left C5 Radiculopathy cause Left Elbow pain? Please answer in a single word: Yes or No.,Yes
pair71,Does Left Elbow pain cause Left C5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair72,Does DLS C6-C7 cause Right C7 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair72,Does Right C7 Radiculopathy cause DLS C6-C7? Please answer in a single word: Yes or No.,No
pair73,Does Right T3 Radiculopathy cause Right Breast pain? Please answer in a single word: Yes or No.,Yes
pair73,Does Right Breast pain cause Right T3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair74,Does Right C2 Radiculopathy cause Right Eye pain? Please answer in a single word: Yes or No.,Yes
pair74,Does Right Eye pain cause Right C2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair75,Does Right C6 Radiculopathy cause Right Elbow trouble? Please answer in a single word: Yes or No.,Yes
pair75,Does Right Elbow trouble cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair76,Does Left L2 Radiculopathy cause Left Lower abdominal pain? Please answer in a single word: Yes or No.,Yes
pair76,Does Left Lower abdominal pain cause Left L2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair77,Does Right S1 Radiculopathy cause Right Achilles tendency? Please answer in a single word: Yes or No.,Yes
pair77,Does Right Achilles tendency cause Right S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair78,Does Left L3 Radiculopathy cause Left Thigh pain? Please answer in a single word: Yes or No.,Yes
pair78,Does Left Thigh pain cause Left L3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair79,Does Left C3 Radiculopathy cause Forehead Headache? Please answer in a single word: Yes or No.,Yes
pair79,Does Forehead Headache cause Left C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair80,Does Left S1 Radiculopathy cause Left Thigh pain? Please answer in a single word: Yes or No.,Yes
pair80,Does Left Thigh pain cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair81,Does Left L1 Radiculopathy cause Central groin pains? Please answer in a single word: Yes or No.,Yes
pair81,Does Central groin pains cause Left L1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair82,Does Right L5 Radiculopathy cause lumbago? Please answer in a single word: Yes or No.,Yes
pair82,Does lumbago cause Right L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair83,Does Right L4 Radiculopathy cause Backache? Please answer in a single word: Yes or No.,Yes
pair83,Does Backache cause Right L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair84,Does Left T3 Radiculopathy cause Left Breast pain? Please answer in a single word: Yes or No.,Yes
pair84,Does Left Breast pain cause Left T3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair85,Does Left T9 Radiculopathy cause Breast Backache? Please answer in a single word: Yes or No.,Yes
pair85,Does Breast Backache cause Left T9 Radiculopathy? Please answer in a single word: Yes or No.,No
pair86,Does Left T12 Radiculopathy cause Lateral abdominal pain? Please answer in a single word: Yes or No.,Yes
pair86,Does Lateral abdominal pain cause Left T12 Radiculopathy? Please answer in a single word: Yes or No.,No
pair87,Does Right L5 Radiculopathy cause Right arch? Please answer in a single word: Yes or No.,Yes
pair87,Does Right arch cause Right L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair88,Does Left C3 Radiculopathy cause Left Neck pain? Please answer in a single word: Yes or No.,Yes
pair88,Does Left Neck pain cause Left C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair89,Does Left C2 Radiculopathy cause mouth? Please answer in a single word: Yes or No.,Yes
pair89,Does mouth cause Left C2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair90,Does Left C2 Radiculopathy cause Forehead Headache? Please answer in a single word: Yes or No.,Yes
pair90,Does Forehead Headache cause Left C2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair91,Does Right L5 Radiculopathy cause Right Leg pain? Please answer in a single word: Yes or No.,Yes
pair91,Does Right Leg pain cause Right L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair92,Does Right L4 Radiculopathy cause Right Front thigh pain? Please answer in a single word: Yes or No.,Yes
pair92,Does Right Front thigh pain cause Right L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair93,Does DLS T5-T6 cause Left T6 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair93,Does Left T6 Radiculopathy cause DLS T5-T6? Please answer in a single word: Yes or No.,No
pair94,Does Left S1 Radiculopathy cause Left Lateral knee pain? Please answer in a single word: Yes or No.,Yes
pair94,Does Left Lateral knee pain cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair95,Does Right L1 Radiculopathy cause Right adductor tendonitis ? Please answer in a single word: Yes or No.,Yes
pair95,Does Right adductor tendonitis  cause Right L1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair96,Does DLS S1-S2 cause Left S2 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair96,Does Left S2 Radiculopathy cause DLS S1-S2? Please answer in a single word: Yes or No.,No
pair97,Does Right L2 Radiculopathy cause Right Groin trouble? Please answer in a single word: Yes or No.,Yes
pair97,Does Right Groin trouble cause Right L2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair98,Does Right C8 Radiculopathy cause Right Elbow trouble? Please answer in a single word: Yes or No.,Yes
pair98,Does Right Elbow trouble cause Right C8 Radiculopathy? Please answer in a single word: Yes or No.,No
pair99,Does Right C2 Radiculopathy cause pharyngeal pain? Please answer in a single word: Yes or No.,Yes
pair99,Does pharyngeal pain cause Right C2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair100,Does DLS T8-T9 cause Right T9 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair100,Does Right T9 Radiculopathy cause DLS T8-T9? Please answer in a single word: Yes or No.,No
pair101,Does Left C5 Radiculopathy cause Left Shoulder trouble? Please answer in a single word: Yes or No.,Yes
pair101,Does Left Shoulder trouble cause Left C5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair102,Does Left S1 Radiculopathy cause Left toe pain? Please answer in a single word: Yes or No.,Yes
pair102,Does Left toe pain cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair103,Does Right T11 Radiculopathy cause IBS? Please answer in a single word: Yes or No.,Yes
pair103,Does IBS cause Right T11 Radiculopathy? Please answer in a single word: Yes or No.,No
pair104,Does Left L4 Radiculopathy cause Left Backache? Please answer in a single word: Yes or No.,Yes
pair104,Does Left Backache cause Left L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair105,Does Left T4 Radiculopathy cause chest pain? Please answer in a single word: Yes or No.,Yes
pair105,Does chest pain cause Left T4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair106,Does Left T7 Radiculopathy cause Toracal dysfunction? Please answer in a single word: Yes or No.,Yes
pair106,Does Toracal dysfunction cause Left T7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair107,Does Right L4 Radiculopathy cause Right Medial vadbesvär? Please answer in a single word: Yes or No.,Yes
pair107,Does Right Medial vadbesvär cause Right L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair108,Does Right C6 Radiculopathy cause Right bend of arm pain? Please answer in a single word: Yes or No.,Yes
pair108,Does Right bend of arm pain cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair109,Does Right T4 Radiculopathy cause Toracal dysfunction? Please answer in a single word: Yes or No.,Yes
pair109,Does Toracal dysfunction cause Right T4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair110,Does DLS C1-C2 cause Left C2 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair110,Does Left C2 Radiculopathy cause DLS C1-C2? Please answer in a single word: Yes or No.,No
pair111,Does Right C4 Radiculopathy cause Right shoulder impingement? Please answer in a single word: Yes or No.,Yes
pair111,Does Right shoulder impingement cause Right C4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair112,Does Left L5 Radiculopathy cause Left Ham? Please answer in a single word: Yes or No.,Yes
pair112,Does Left Ham cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair113,Does Right C7 Radiculopathy cause Right Elbow trouble? Please answer in a single word: Yes or No.,Yes
pair113,Does Right Elbow trouble cause Right C7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair114,Does Left T8 Radiculopathy cause Lateral abdominal pain? Please answer in a single word: Yes or No.,Yes
pair114,Does Lateral abdominal pain cause Left T8 Radiculopathy? Please answer in a single word: Yes or No.,No
pair115,Does Right C3 Radiculopathy cause neck pain? Please answer in a single word: Yes or No.,Yes
pair115,Does neck pain cause Right C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair116,Does Right L3 Radiculopathy cause Right Thigh pain? Please answer in a single word: Yes or No.,Yes
pair116,Does Right Thigh pain cause Right L3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair117,Does Left L4 Radiculopathy cause Left Front thigh pain? Please answer in a single word: Yes or No.,Yes
pair117,Does Left Front thigh pain cause Left L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair118,Does Left T8 Radiculopathy cause Upper abdominal pain? Please answer in a single word: Yes or No.,Yes
pair118,Does Upper abdominal pain cause Left T8 Radiculopathy? Please answer in a single word: Yes or No.,No
pair119,Does Right L4 Radiculopathy cause Right Thigh pain? Please answer in a single word: Yes or No.,Yes
pair119,Does Right Thigh pain cause Right L4 Radiculopathy? Please answer in a single word: Yes or No.,No
pair120,Does Right S1 Radiculopathy cause Right Dorsal knee joint pain? Please answer in a single word: Yes or No.,Yes
pair120,Does Right Dorsal knee joint pain cause Right S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair121,Does Right L1 Radiculopathy cause Right Groin trouble? Please answer in a single word: Yes or No.,Yes
pair121,Does Right Groin trouble cause Right L1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair122,Does Left C3 Radiculopathy cause Left Central chest pains? Please answer in a single word: Yes or No.,Yes
pair122,Does Left Central chest pains cause Left C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair123,Does Left L1 Radiculopathy cause Left groin trouble? Please answer in a single word: Yes or No.,Yes
pair123,Does Left groin trouble cause Left L1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair124,Does Right T10 Radiculopathy cause Breast Backache? Please answer in a single word: Yes or No.,Yes
pair124,Does Breast Backache cause Right T10 Radiculopathy? Please answer in a single word: Yes or No.,No
pair125,Does Right T12 Radiculopathy cause IBS? Please answer in a single word: Yes or No.,Yes
pair125,Does IBS cause Right T12 Radiculopathy? Please answer in a single word: Yes or No.,No
pair126,Does Right C2 Radiculopathy cause Right neck? Please answer in a single word: Yes or No.,Yes
pair126,Does Right neck cause Right C2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair127,Does DLS T11-T12 cause Left T12 Radiculopathy? Please answer in a single word: Yes or No.,Yes
pair127,Does Left T12 Radiculopathy cause DLS T11-T12? Please answer in a single word: Yes or No.,No
pair128,Does Left T9 Radiculopathy cause Left Lower abdominal pain? Please answer in a single word: Yes or No.,Yes
pair128,Does Left Lower abdominal pain cause Left T9 Radiculopathy? Please answer in a single word: Yes or No.,No
pair129,Does Right C3 Radiculopathy cause back headache? Please answer in a single word: Yes or No.,Yes
pair129,Does back headache cause Right C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair130,Does Right L2 Radiculopathy cause lumbago? Please answer in a single word: Yes or No.,Yes
pair130,Does lumbago cause Right L2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair131,Does Right T8 Radiculopathy cause Abdominal pain? Please answer in a single word: Yes or No.,Yes
pair131,Does Abdominal pain cause Right T8 Radiculopathy? Please answer in a single word: Yes or No.,No
pair132,Does Right C7 Radiculopathy cause Right Finger trouble? Please answer in a single word: Yes or No.,Yes
pair132,Does Right Finger trouble cause Right C7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair133,Does Left C6 Radiculopathy cause Left Shoulder pain? Please answer in a single word: Yes or No.,Yes
pair133,Does Left Shoulder pain cause Left C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair134,Does Left L5 Radiculopathy cause Left big toe pain? Please answer in a single word: Yes or No.,Yes
pair134,Does Left big toe pain cause Left L5 Radiculopathy? Please answer in a single word: Yes or No.,No
pair135,Does Right T7 Radiculopathy cause Breast Backache? Please answer in a single word: Yes or No.,Yes
pair135,Does Breast Backache cause Right T7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair136,Does Left C7 Radiculopathy cause Left Wrist pain? Please answer in a single word: Yes or No.,Yes
pair136,Does Left Wrist pain cause Left C7 Radiculopathy? Please answer in a single word: Yes or No.,No
pair137,Does Right S1 Radiculopathy cause Right Foot pain? Please answer in a single word: Yes or No.,Yes
pair137,Does Right Foot pain cause Right S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair138,Does Left C2 Radiculopathy cause Headache? Please answer in a single word: Yes or No.,Yes
pair138,Does Headache cause Left C2 Radiculopathy? Please answer in a single word: Yes or No.,No
pair139,Does Left C3 Radiculopathy cause neck pain? Please answer in a single word: Yes or No.,Yes
pair139,Does neck pain cause Left C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair140,Does Right C6 Radiculopathy cause Right Lateral elbow pain? Please answer in a single word: Yes or No.,Yes
pair140,Does Right Lateral elbow pain cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair141,Does Left S1 Radiculopathy cause Left Heel  pain? Please answer in a single word: Yes or No.,Yes
pair141,Does Left Heel  pain cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair142,Does Right C6 Radiculopathy cause neck pain? Please answer in a single word: Yes or No.,Yes
pair142,Does neck pain cause Right C6 Radiculopathy? Please answer in a single word: Yes or No.,No
pair143,Does Left S1 Radiculopathy cause Left Leg pain? Please answer in a single word: Yes or No.,Yes
pair143,Does Left Leg pain cause Left S1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair144,Does Left C3 Radiculopathy cause Central chest pain? Please answer in a single word: Yes or No.,Yes
pair144,Does Central chest pain cause Left C3 Radiculopathy? Please answer in a single word: Yes or No.,No
pair145,Does Left L1 Radiculopathy cause Left Medial groin pains? Please answer in a single word: Yes or No.,Yes
pair145,Does Left Medial groin pains cause Left L1 Radiculopathy? Please answer in a single word: Yes or No.,No
pair146,Does Right S1 Radiculopathy cause Right Lumbago? Please answer in a single word: Yes or No.,Yes
pair146,Does Right Lumbago cause Right S1 Radiculopathy? Please answer in a single word: Yes or No.,No
