CorrectACauseB,CorrectBCauseA,pairid, varA,varB,dataset,groundtruth
0,1,pair0087,Temperature,Total snow,http://www.mldata.org/repository/data/viewslug/whistler-daily-snowfall/,->
0,1,pair0088,Age,Relative spinal bone mineral density,bone dataset of R ElemStatLearn package,->
1,0,pair0089,mass loss Oct (grassl),mass loss April (grassl),"Solly et al (2014). Plant and Soil, 382(1-2), 203-218.",<-
1,0,pair0090,mass loss Oct (forest),mass loss April (forest),"Solly et al (2014). Plant and Soil, 382(1-2), 203-218.",<-
0,1,pair0091,clay cont. in soil (forest),soil moisture,"Solly et al (2014). Plant and Soil, 382(1-2), 203-218.",->
1,0,pair0092,organic carbon in soil (forest),clay cont. in soil (forest),"Solly et al (2014). Plant and Soil, 382(1-2), 203-218.",<-
0,1,pair0093,precipitation,runoff,MOPEX (ftp://hydrology.nws.noaa.gov/pub/gcip/mopex/US_Data/Us_438_Daily/),->
0,1,pair0094,hour of day,temperature,S. Armagan Tarim,->
0,1,pair0095,hour of day,electricity load,S. Armagan Tarim,->
0,1,pair0096,temperature,electricity load,S. Armagan Tarim,->
0,1,pair0097, speed at the beginning, speed at the end,D. Janzing,  ->  
0,1,pair0098, speed at the beginning (acceleration zone), speed at the end,D. Janzing,  -> 
1,0,pair0099,language test score,social-economic status family,nlschools dataset of R MASS package,<-
0,1,pair0100,cycle time of CPU,performance,cpus dataset of R MASS package,->
0,1,pair0101, grey value of a pixel,  brightness of the screen, D. Janzing,  ->
0,1,pair0102, position of a ball,  time for passing a track segment,  D. Janzing,  ->
0,1,pair0103, position of a ball,  time for passing a track segment,  D. Janzing,  ->
0,1,pair0104, time for passing 1. segment,  time for passing 2. segment, D. Janzing,  -> 
0,1,pair0105, pixel vector of a patch,total brightness at the screen, D. Janzing,  -> 
1,0,pair0106, time required for one round,  voltage,D. Janzing,  <-
0,1,pair0107, strength of contrast,answer correct or not,"Schuett, edited by D. Janzing", -> 
1,0,pair0108, time for 1/6 rotation,  temperature,  D. Janzing,  <- 
