pair_id,cause,effect,cause1,cause2,effect1,effect2
"pair0026,",the amount of blast furnace slag in concrete|the compressive strength of concrete,its compressive strength|the amount of blast furnace slag it contains,the amount of blast furnace slag in concrete,the compressive strength of concrete,its compressive strength,the amount of blast furnace slag it contains
"pair0027,",the amount of fly ash in concrete|the compressive strength of concrete,its compressive strength|the amount of fly ash it contains,the amount of fly ash in concrete,the compressive strength of concrete,its compressive strength,the amount of fly ash it contains
"pair0028,",the amount of water in concrete|the compressive strength of concrete,its compressive strength|the amount of water it contains,the amount of water in concrete,the compressive strength of concrete,its compressive strength,the amount of water it contains
"pair0029,",the amount of superplasticizer in concrete|the compressive strength of concrete,its compressive strength|the amount of superplasticizer it contains,the amount of superplasticizer in concrete,the compressive strength of concrete,its compressive strength,the amount of superplasticizer it contains
"pair0030,",the amount of coarse aggregate in concrete|the compressive strength of concrete,its compressive strength|the amount of coarse aggregate it contains,the amount of coarse aggregate in concrete,the compressive strength of concrete,its compressive strength,the amount of coarse aggregate it contains
"pair0031,",the amount of fine aggregate in concrete|the compressive strength of concrete,its compressive strength|the amount of fine aggregate it contains,the amount of fine aggregate in concrete,the compressive strength of concrete,its compressive strength,the amount of fine aggregate it contains
"pair0032,",the age of concrete|the compressive strength of concrete,its compressive strength|its age,the age of concrete,the compressive strength of concrete,its compressive strength,its age
"pair0033,",the alcohol consumption of a person|the mean corpuscular volume in a person's blood,mean corpuscular volume in their blood|their alcohol consumption,the alcohol consumption of a person,the mean corpuscular volume in a person's blood,mean corpuscular volume in their blood,their alcohol consumption
"pair0034,",the alcohol consumption of a person|the alkaline phosphotase in a person's blood,alkaline phosphotase in their blood|their alcohol consumption,the alcohol consumption of a person,the alkaline phosphotase in a person's blood,alkaline phosphotase in their blood,their alcohol consumption
"pair0035,",the alcohol consumption of a person|the alanine aminotransferase in a person's blood,alanine aminotransferase in their blood|their alcohol consumption,the alcohol consumption of a person,the alanine aminotransferase in a person's blood,alanine aminotransferase in their blood,their alcohol consumption
"pair0036,",the alcohol consumption of a person|the aspartate aminotransferase in a person's blood,aspartate aminotransferase in their blood|their alcohol consumption,the alcohol consumption of a person,the aspartate aminotransferase in a person's blood,aspartate aminotransferase in their blood,their alcohol consumption
"pair0037,",the alcohol consumption of a person|the gamma-glutamyl transpeptdase in a person's blood,gamma-glutamyl transpeptdase in their blood|their alcohol consumption,the alcohol consumption of a person,the gamma-glutamyl transpeptdase in a person's blood,gamma-glutamyl transpeptdase in their blood,their alcohol consumption
"pair0038,",the age of a person|the body mass index of a person,their body mass index|their age,the age of a person,the body mass index of a person,their body mass index,their age
"pair0039,",the age of a person|the serum insulin of a person,their serum insulin|their age,the age of a person,the serum insulin of a person,their serum insulin,their age
"pair0040,",the age of a person|the diastolic blood pressure of a person,their diastolic blood pressure|their age,the age of a person,the diastolic blood pressure of a person,their diastolic blood pressure,their age
"pair0041,",the age of a person|the plasma glucose concentration of a person,their plasma glucose concentration|their age,the age of a person,the plasma glucose concentration of a person,their plasma glucose concentration,their age
"pair0042,",the day of the year|the temperature,the temperature|the day of the year,the day of the year,the temperature,the temperature,the day of the year
"pair0043,",the temperature at time t|the temperature at time t+1,the temperature at time t+1|the temperature at time t,the temperature at time t,the temperature at time t+1,the temperature at time t+1,the temperature at time t
"pair0044,",the pressure at time t|the pressure at time t+1,the pressure at time t+1|the pressure at time t,the pressure at time t,the pressure at time t+1,the pressure at time t+1,the pressure at time t
"pair0045,",the sea level pressure at time t|the sea level pressure at time t+1,the sea level pressure at time t+1|the sea level pressure at time t,the sea level pressure at time t,the sea level pressure at time t+1,the sea level pressure at time t+1,the sea level pressure at time t
"pair0046,",the relative humidity at time t|the relative humidity at time t+1,the relative humidity at time t+1|the relative humidity at time t,the relative humidity at time t,the relative humidity at time t+1,the relative humidity at time t+1,the relative humidity at time t
"pair0047,",the number of cars in traffic|the type of day,the type of day|the number of cars in traffic,the number of cars in traffic,the type of day,the type of day,the number of cars in traffic
"pair0048,",the indoor temperature|the outdoor temperature,outdoor temperature|indoor temperature,the indoor temperature,the outdoor temperature,outdoor temperature,indoor temperature
"pair0049,","the surface ozone concentration in Lausanne-Cesar-Roux, Switzerland|the temperature in Lausanne-Cesar-Roux, Switzerland",the temperature there|the surface ozone concentration there,"the surface ozone concentration in Lausanne-Cesar-Roux, Switzerland","the temperature in Lausanne-Cesar-Roux, Switzerland",the temperature there,the surface ozone concentration there
"pair0050,","the surface ozone concentration in Chaumont, Switzerland|the temperature in Chaumont, Switzerland",the temperature there|the surface ozone concentration there,"the surface ozone concentration in Chaumont, Switzerland","the temperature in Chaumont, Switzerland",the temperature there,the surface ozone concentration there
"pair0051,","the surface ozone concentration in Davos-See, Switzerland|the temperature in Davos-See, Switzerland",the temperature there|the surface ozone concentration there,"the surface ozone concentration in Davos-See, Switzerland","the temperature in Davos-See, Switzerland",the temperature there,the surface ozone concentration there
"pair0052,","air temperature, surface pressure, sea level pressure and relative humidity of day 50 in year 2000|air temperature, surface pressure, sea level pressure and relative humidity of day 51 in year 2000","air temperature, surface pressure, sea level pressure and relative humidity of day 51 in year 2000|air temperature, surface pressure, sea level pressure and relative humidity of day 50 in year 2000","air temperature, surface pressure, sea level pressure and relative humidity of day 50 in year 2000","air temperature, surface pressure, sea level pressure and relative humidity of day 51 in year 2000","air temperature, surface pressure, sea level pressure and relative humidity of day 51 in year 2000","air temperature, surface pressure, sea level pressure and relative humidity of day 50 in year 2000"
"pair0053,","ozone concentration|wind speed, radiation and temperature","wind speed, radiation and temperature|ozone concentration",ozone concentration,"wind speed, radiation and temperature","wind speed, radiation and temperature",ozone concentration
"pair0054,","displacement, horsepower and weight|fuel consumption and miles per gallon","fuel consumption and miles per gallon|displacement, horsepower and weight","displacement, horsepower and weight",fuel consumption and miles per gallon,fuel consumption and miles per gallon,"displacement, horsepower and weight"
"pair0055,",ozone concentration|radiation,radiation|ozone concentration,ozone concentration,radiation,radiation,ozone concentration
"pair0056,",female life expectancy in 2000-2005|latitude,latitude|female life expectancy in 2000-2005,female life expectancy in 2000-2005,latitude,latitude,female life expectancy in 2000-2005
"pair0057,",female life expectancy in 1995-2000|latitude,latitude|female life expectancy in 1995-2000,female life expectancy in 1995-2000,latitude,latitude,female life expectancy in 1995-2000
"pair0058,",female life expectancy in 1990-1995|latitude,latitude|female life expectancy in 1990-1995,female life expectancy in 1990-1995,latitude,latitude,female life expectancy in 1990-1995
"pair0059,",female life expectancy in 1985-1990|latitude,latitude|female life expectancy in 1985-1990,female life expectancy in 1985-1990,latitude,latitude,female life expectancy in 1985-1990
"pair0060,",male life expectancy in 2000-2005|latitude,latitude|male life expectancy in 2000-2005,male life expectancy in 2000-2005,latitude,latitude,male life expectancy in 2000-2005
"pair0061,",male life expectancy in 1995-2000|latitude,latitude|male life expectancy in 1995-2000,male life expectancy in 1995-2000,latitude,latitude,male life expectancy in 1995-2000
"pair0062,",male life expectancy in 1990-1995|latitude,latitude|male life expectancy in 1990-1995,male life expectancy in 1990-1995,latitude,latitude,male life expectancy in 1990-1995
"pair0063,",male life expectancy in 1985-1990|latitude,latitude|male life expectancy in 1985-1990,male life expectancy in 1985-1990,latitude,latitude,male life expectancy in 1985-1990
"pair0064,",access to drink water|infant mortality rate,infant mortality rate|access to drink water,access to drink water,infant mortality rate,infant mortality rate,access to drink water
"pair0065,",the stock return of Hang Seng Bank|the stock return of HSBC Hldgs,the stock return of HSBC Hldgs|the stock return of Hang Seng Bank,the stock return of Hang Seng Bank,the stock return of HSBC Hldgs,the stock return of HSBC Hldgs,the stock return of Hang Seng Bank
"pair0066,",the stock return of Hutchison|the stock return of Cheung kong,the stock return of Cheung kong|the stock return of Hutchison,the stock return of Hutchison,the stock return of Cheung kong,the stock return of Cheung kong,the stock return of Hutchison
"pair0067,",the stock return of Cheung kong|the stock return of Sun Hung Kai Prop.,the stock return of Sun Hung Kai Prop.|the stock return of Cheung kong,the stock return of Cheung kong,the stock return of Sun Hung Kai Prop.,the stock return of Sun Hung Kai Prop.,the stock return of Cheung kong
"pair0068,",the number of bytes sent|in the number of open http connections,the number of open http connections|the number of bytes sent,the number of bytes sent,in the number of open http connections,the number of open http connections,the number of bytes sent
"pair0069,",inside temperature|outside temperature,outside temperature|inside temperature,inside temperature,outside temperature,outside temperature,inside temperature
"pair0070,",parameter|answer,answer|parameter,parameter,answer,answer,parameter
"pair0071,",symptoms|classification of disease,classification of disease|symptoms,symptoms,classification of disease,classification of disease,symptoms
"pair0072,",sunspots|global mean temperature,global mean temperature|sunspots,sunspots,global mean temperature,global mean temperature,sunspots
"pair0073,",CO2 emissions|energy use,energy use|CO2 emissions,CO2 emissions,energy use,energy use,CO2 emissions
"pair0074,",gross national income per capita|life expectancy,life expectancy|gross national income per capita,gross national income per capita,life expectancy,life expectancy,gross national income per capita
"pair0075,",mortality rate for children under 5|gross national income per capita,gross national income per capita|mortality rate for children under 5,mortality rate for children under 5,gross national income per capita,gross national income per capita,mortality rate for children under 5
"pair0076,",population growth|food consumption growth,food consumption growth|population growth,population growth,food consumption growth,food consumption growth,population growth
"pair0077,",temperature|solar radiation,solar radiation|temperature,temperature,solar radiation,solar radiation,temperature
"pair0078,",photosynthetic photon flux density|net ecosystem productivity,net ecosystem productivity|photosynthetic photon flux density,photosynthetic photon flux density,net ecosystem productivity,net ecosystem productivity,photosynthetic photon flux density
"pair0079,",net ecosystem productivity|direct photosynthetic photon flux density,direct photosynthetic photon flux density|net ecosystem productivity,net ecosystem productivity,direct photosynthetic photon flux density,direct photosynthetic photon flux density,net ecosystem productivity
"pair0080,",net ecosystem productivity|diffuse photosynthetic photon flux density,diffuse photosynthetic photon flux density|net ecosystem productivity,net ecosystem productivity,diffuse photosynthetic photon flux density,diffuse photosynthetic photon flux density,net ecosystem productivity
"pair0081,","temperature|local CO2 flux in Brasschaat, Belgium","local CO2 flux in Brasschaat, Belgium|temperature",temperature,"local CO2 flux in Brasschaat, Belgium","local CO2 flux in Brasschaat, Belgium",temperature
"pair0082,","temperature|local CO2 flux in Hartheim, Germany","local CO2 flux in Hartheim, Germany|temperature",temperature,"local CO2 flux in Hartheim, Germany","local CO2 flux in Hartheim, Germany",temperature
"pair0083,","temperature|local CO2 flux in Park Falls, US","local CO2 flux in Park Falls, US|temperature",temperature,"local CO2 flux in Park Falls, US","local CO2 flux in Park Falls, US",temperature
"pair0084,",employment|population,population|employment,employment,population,population,employment
"pair0085,",time of measurement|protein content of milk,protein content of milk|time of measurement,time of measurement,protein content of milk,protein content of milk,time of measurement
"pair0086,",the size of an apartment|the monthly rent of an apartment,its monthly rent|its size,the size of an apartment,the monthly rent of an apartment,its monthly rent,its size
"pair0087,",the temperature|the total amount of snow,the total amount of snow|the temperature,the temperature,the total amount of snow,the total amount of snow,the temperature
"pair0088,",the age of a child|the relative spinal bone mineral density of a child,their relative spinal bone mineral density|their age,the age of a child,the relative spinal bone mineral density of a child,their relative spinal bone mineral density,their age
"pair0089,",the mass loss in October 2012 in grassland|the mass loss in April 2012 in grassland,the mass loss in April 2012 there|the mass loss in October 2012 there,the mass loss in October 2012 in grassland,the mass loss in April 2012 in grassland,the mass loss in April 2012 there,the mass loss in October 2012 there
"pair0090,",the mass loss in October 2012 in forest|the mass loss in April 2012 in forest,the mass loss in April 2012 there|the mass loss in October 2012 there,the mass loss in October 2012 in forest,the mass loss in April 2012 in forest,the mass loss in April 2012 there,the mass loss in October 2012 there
"pair0091,",the clay content in soil|the soul moisture,its soil moisture|its clay content in soil,the clay content in soil,the soul moisture,its soil moisture,its clay content in soil
"pair0092,",the organic carbon in soil|the clay content in soil,the clay content in soil|the organic carbon in soil,the organic carbon in soil,the clay content in soil,the clay content in soil,the organic carbon in soil
"pair0093,",the precipitation|the runoff,the runoff in river catchment areas|the precipitation in river catchment areas,the precipitation,the runoff,the runoff in river catchment areas,the precipitation in river catchment areas
"pair0094,",the hour of day|the temperature,the temperature|the hour of day,the hour of day,the temperature,the temperature,the hour of day
"pair0095,",the hour of day|the electricity load in a region,the electricity load in a region|the hour of day,the hour of day,the electricity load in a region,the electricity load in a region,the hour of day
"pair0096,",the temperature|the electricity load in a region,the electricity load in a region|the temperature,the temperature,the electricity load in a region,the electricity load in a region,the temperature
"pair0097,",a ball's speed at the beginning of a ball track|a ball's speed at the end of a ball track,its speed at the end of the track|its speed at the beginning of the track,a ball's speed at the beginning of a ball track,a ball's speed at the end of a ball track,its speed at the end of the track,its speed at the beginning of the track
"pair0098,",a ball's speed at the beginning of a ball track with an acceleration zone|a ball's speed at the end of a ball track with an acceleration zone,its speed at the end of the track|its speed at the beginning of the track,a ball's speed at the beginning of a ball track with an acceleration zone,a ball's speed at the end of a ball track with an acceleration zone,its speed at the end of the track,its speed at the beginning of the track
"pair0099,",the language test score of a student|the social-economic status of a student's family,the social-economic status of their family|their language test score,the language test score of a student,the social-economic status of a student's family,the social-economic status of their family,their language test score
"pair0100,",the cycle time of a CPU|the performance of a CPU on a benchmark mix,its performance on a benchmark mix|its cycle time,the cycle time of a CPU,the performance of a CPU on a benchmark mix,its performance on a benchmark mix,its cycle time
"pair0101,",the grey value of a pixel|the brightness of the screen,the brightness of the screen|the grey value of a pixel,the grey value of a pixel,the brightness of the screen,the brightness of the screen,the grey value of a pixel
"pair0102,",the initial position of the ball in a ball track|the time interval between passing the first and the second light barrier of a ball track,the time interval between passing the first and the second light barrier of the track|the initial position of the ball in the track,the initial position of the ball in a ball track,the time interval between passing the first and the second light barrier of a ball track,the time interval between passing the first and the second light barrier of the track,the initial position of the ball in the track
"pair0103,",the initial position of the ball in a ball track|the time interval between passing the third and the fourth light barrier of a ball track,the time interval between passing the third and the fourth light barrier of the track|the initial position of the ball in the track,the initial position of the ball in a ball track,the time interval between passing the third and the fourth light barrier of a ball track,the time interval between passing the third and the fourth light barrier of the track,the initial position of the ball in the track
"pair0104,",the time interval between passing the first and the second light barrier of a ball track|the time interval between passing the third and the fourth light barrier of a ball track,the time interval between passing the third and the fourth light barrier of the track|the time interval between passing the first and the second light barrier of the track,the time interval between passing the first and the second light barrier of a ball track,the time interval between passing the third and the fourth light barrier of a ball track,the time interval between passing the third and the fourth light barrier of the track,the time interval between passing the first and the second light barrier of the track
"pair0105,",the pixel vector of a patch|the total brightness of the screen,the total brightness of the screen|the pixel vector of a patch,the pixel vector of a patch,the total brightness of the screen,the total brightness of the screen,the pixel vector of a patch
"pair0106,",the time required for one round by an electric toy locomotive|the input voltage of an electric toy locomotive,its input voltage|its time required for one round,the time required for one round by an electric toy locomotive,the input voltage of an electric toy locomotive,its input voltage,its time required for one round
"pair0107,",the contrast of tilted Gabor patches|the accuracy of detection of tilt of Gabor patches by participants,the accuracy of detection of tilt by participants|contrast of the Gabor patches,the contrast of tilted Gabor patches,the accuracy of detection of tilt of Gabor patches by participants,the accuracy of detection of tilt by participants,contrast of the Gabor patches
"pair0108,",the time for 1/6 rotation of a Stirling engine|the temperature of the heat bath of a Stirling engine,the temperature of its heat bath|time it takes for 1/6 rotation,the time for 1/6 rotation of a Stirling engine,the temperature of the heat bath of a Stirling engine,the temperature of its heat bath,time it takes for 1/6 rotation
