pair_id,cause,effect,prompt
"pair0051,","the surface ozone concentration in Davos-See, Switzerland",the temperature there,"does changing the surface ozone concentration in Davos-See, Switzerland cause a change in the temperature there? Please answer in single word: Yes or No."
"pair0051,","the temperature in Davos-See, Switzerland",the surface ozone concentration there,"does changing the temperature in Davos-See, Switzerland cause a change in the surface ozone concentration there? Please answer in single word: Yes or No."
"pair0052,","air temperature, surface pressure, sea level pressure and relative humidity of day 50 in year 2000","air temperature, surface pressure, sea level pressure and relative humidity of day 51 in year 2000","Does changing air temperature, surface pressure, sea level pressure and relative humidity of day 50 in year 2000 cause a change in air temperature, surface pressure, sea level pressure and relative humidity of day 51 in year 2000? Please answer in a single word: Yes or No."
"pair0052,","air temperature, surface pressure, sea level pressure and relative humidity of day 51 in year 2000","air temperature, surface pressure, sea level pressure and relative humidity of day 50 in year 2000","Does changing air temperature, surface pressure, sea level pressure and relative humidity of day 51 in year 2000 cause a change in air temperature, surface pressure, sea level pressure and relative humidity of day 50 in year 2000? Please answer in a single word: Yes or No."
"pair0053,",ozone concentration,"wind speed, radiation and temperature","Does changing ozone concentration cause a change in wind speed, radiation and temperature? Please answer in a single word: Yes or No."
"pair0053,","wind speed, radiation and temperature",ozone concentration,"Does changing wind speed, radiation and temperature cause a change in ozone concentration? Please answer in a single word: Yes or No."
"pair0054,","displacement, horsepower and weight",fuel consumption and miles per gallon,"Does changing displacement, horsepower and weight cause a change in fuel consumption and miles per gallon? Please answer in a single word: Yes or No."
"pair0054,",fuel consumption and miles per gallon,"displacement, horsepower and weight","Does changing fuel consumption and miles per gallon cause a change in displacement, horsepower and weight? Please answer in a single word: Yes or No."
"pair0055,",ozone concentration,radiation,Does changing ozone concentration cause a change in radiation? Please answer in a single word: Yes or No.
"pair0055,",radiation,ozone concentration,Does changing radiation cause a change in ozone concentration? Please answer in a single word: Yes or No.
"pair0056,",female life expectancy in 2000-2005,latitude,Does changing female life expectancy in 2000-2005 cause a change in latitude? Please answer in a single word: Yes or No.
"pair0056,",latitude,female life expectancy in 2000-2005,Does changing latitude cause a change in female life expectancy in 2000-2005? Please answer in a single word: Yes or No.
"pair0057,",female life expectancy in 1995-2000,latitude,Does changing female life expectancy in 1995-2000 cause a change in latitude? Please answer in a single word: Yes or No.
"pair0057,",latitude,female life expectancy in 1995-2000,Does changing latitude cause a change in female life expectancy in 1995-2000? Please answer in a single word: Yes or No.
"pair0058,",female life expectancy in 1990-1995,latitude,Does changing female life expectancy in 1990-1995 cause a change in latitude? Please answer in a single word: Yes or No.
"pair0058,",latitude,female life expectancy in 1990-1995,Does changing latitude cause a change in female life expectancy in 1990-1995? Please answer in a single word: Yes or No.
"pair0059,",female life expectancy in 1985-1990,latitude,Does changing female life expectancy in 1985-1990 cause a change in latitude? Please answer in a single word: Yes or No.
"pair0059,",latitude,female life expectancy in 1985-1990,Does changing latitude cause a change in female life expectancy in 1985-1990? Please answer in a single word: Yes or No.
"pair0060,",male life expectancy in 2000-2005,latitude,Does changing male life expectancy in 2000-2005 cause a change in latitude? Please answer in a single word: Yes or No.
"pair0060,",latitude,male life expectancy in 2000-2005,Does changing latitude cause a change in male life expectancy in 2000-2005? Please answer in a single word: Yes or No.
"pair0061,",male life expectancy in 1995-2000,latitude,Does changing male life expectancy in 1995-2000 cause a change in latitude? Please answer in a single word: Yes or No.
"pair0061,",latitude,male life expectancy in 1995-2000,Does changing latitude cause a change in male life expectancy in 1995-2000? Please answer in a single word: Yes or No.
"pair0062,",male life expectancy in 1990-1995,latitude,Does changing male life expectancy in 1990-1995 cause a change in latitude? Please answer in a single word: Yes or No.
"pair0062,",latitude,male life expectancy in 1990-1995,Does changing latitude cause a change in male life expectancy in 1990-1995? Please answer in a single word: Yes or No.
"pair0063,",male life expectancy in 1985-1990,latitude,Does changing male life expectancy in 1985-1990 cause a change in latitude? Please answer in a single word: Yes or No.
"pair0063,",latitude,male life expectancy in 1985-1990,Does changing latitude cause a change in male life expectancy in 1985-1990? Please answer in a single word: Yes or No.
"pair0064,",access to drink water,infant mortality rate,Does changing access to drink water cause a change in infant mortality rate? Please answer in a single word: Yes or No.
"pair0064,",infant mortality rate,access to drink water,Does changing infant mortality rate cause a change in access to drink water? Please answer in a single word: Yes or No.
"pair0065,",the stock return of Hang Seng Bank,the stock return of HSBC Hldgs,Does changing the stock return of Hang Seng Bank cause a change in the stock return of HSBC Hldgs? Please answer in a single word: Yes or No.
"pair0065,",the stock return of HSBC Hldgs,the stock return of Hang Seng Bank,Does changing the stock return of HSBC Hldgs cause a change in the stock return of Hang Seng Bank? Please answer in a single word: Yes or No.
"pair0066,",the stock return of Hutchison,the stock return of Cheung kong,Does changing the stock return of Hutchison cause a change in the stock return of Cheung kong? Please answer in a single word: Yes or No.
"pair0066,",the stock return of Cheung kong,the stock return of Hutchison,Does changing the stock return of Cheung kong cause a change in the stock return of Hutchison? Please answer in a single word: Yes or No.
"pair0067,",the stock return of Cheung kong,the stock return of Sun Hung Kai Prop.,Does changing the stock return of Cheung kong cause a change in the stock return of Sun Hung Kai Prop.? Please answer in a single word: Yes or No.
"pair0067,",the stock return of Sun Hung Kai Prop.,the stock return of Cheung kong,Does changing the stock return of Sun Hung Kai Prop. cause a change in the stock return of Cheung kong? Please answer in a single word: Yes or No.
"pair0068,",the number of bytes sent,the number of open http connections,Does changing the number of bytes sent cause a change in the number of open http connections? Please answer in a single word: Yes or No.
"pair0068,",in the number of open http connections,the number of bytes sent,Does changing in the number of open http connections cause a change in the number of bytes sent? Please answer in a single word: Yes or No.
"pair0069,",inside temperature,outside temperature,Does changing inside temperature cause a change in outside temperature? Please answer in a single word: Yes or No.
"pair0069,",outside temperature,inside temperature,Does changing outside temperature cause a change in inside temperature? Please answer in a single word: Yes or No.
"pair0070,",parameter,answer,Does changing parameter cause a change in answer? Please answer in a single word: Yes or No.
"pair0070,",answer,parameter,Does changing answer cause a change in parameter? Please answer in a single word: Yes or No.
"pair0071,",symptoms,classification of disease,Does changing symptoms cause a change in classification of disease? Please answer in a single word: Yes or No.
"pair0071,",classification of disease,symptoms,Does changing classification of disease cause a change in symptoms? Please answer in a single word: Yes or No.
"pair0072,",sunspots,global mean temperature,Does changing sunspots cause a change in global mean temperature? Please answer in a single word: Yes or No.
"pair0072,",global mean temperature,sunspots,Does changing global mean temperature cause a change in sunspots? Please answer in a single word: Yes or No.
"pair0073,",CO2 emissions,energy use,Does changing CO2 emissions cause a change in energy use? Please answer in a single word: Yes or No.
"pair0073,",energy use,CO2 emissions,Does changing energy use cause a change in CO2 emissions? Please answer in a single word: Yes or No.
"pair0074,",gross national income per capita,life expectancy,Does changing gross national income per capita cause a change in life expectancy? Please answer in a single word: Yes or No.
"pair0074,",life expectancy,gross national income per capita,Does changing life expectancy cause a change in gross national income per capita? Please answer in a single word: Yes or No.
"pair0075,",mortality rate for children under 5,gross national income per capita,Does changing mortality rate for children under 5 cause a change in gross national income per capita? Please answer in a single word: Yes or No.
"pair0075,",gross national income per capita,mortality rate for children under 5,Does changing gross national income per capita cause a change in mortality rate for children under 5? Please answer in a single word: Yes or No.
"pair0076,",population growth,food consumption growth,Does changing population growth cause a change in food consumption growth? Please answer in a single word: Yes or No.
"pair0076,",food consumption growth,population growth,Does changing food consumption growth cause a change in population growth? Please answer in a single word: Yes or No.
"pair0077,",temperature,solar radiation,Does changing temperature cause a change in solar radiation? Please answer in a single word: Yes or No.
"pair0077,",solar radiation,temperature,Does changing solar radiation cause a change in temperature? Please answer in a single word: Yes or No.
"pair0078,",photosynthetic photon flux density,net ecosystem productivity,Does changing photosynthetic photon flux density cause a change in net ecosystem productivity? Please answer in a single word: Yes or No.
"pair0078,",net ecosystem productivity,photosynthetic photon flux density,Does changing net ecosystem productivity cause a change in photosynthetic photon flux density? Please answer in a single word: Yes or No.
"pair0079,",net ecosystem productivity,direct photosynthetic photon flux density,Does changing net ecosystem productivity cause a change in direct photosynthetic photon flux density? Please answer in a single word: Yes or No.
"pair0079,",direct photosynthetic photon flux density,net ecosystem productivity,Does changing direct photosynthetic photon flux density cause a change in net ecosystem productivity? Please answer in a single word: Yes or No.
"pair0080,",net ecosystem productivity,diffuse photosynthetic photon flux density,Does changing net ecosystem productivity cause a change in diffuse photosynthetic photon flux density? Please answer in a single word: Yes or No.
"pair0080,",diffuse photosynthetic photon flux density,net ecosystem productivity,Does changing diffuse photosynthetic photon flux density cause a change in net ecosystem productivity? Please answer in a single word: Yes or No.
"pair0081,",temperature,"local CO2 flux in Brasschaat, Belgium","Does changing temperature cause a change in local CO2 flux in Brasschaat, Belgium? Please answer in a single word: Yes or No."
"pair0081,","local CO2 flux in Brasschaat, Belgium",temperature,"Does changing local CO2 flux in Brasschaat, Belgium cause a change in temperature? Please answer in a single word: Yes or No."
"pair0082,",temperature,"local CO2 flux in Hartheim, Germany","Does changing temperature cause a change in local CO2 flux in Hartheim, Germany? Please answer in a single word: Yes or No."
"pair0082,","local CO2 flux in Hartheim, Germany",temperature,"Does changing local CO2 flux in Hartheim, Germany cause a change in temperature? Please answer in a single word: Yes or No."
"pair0083,",temperature,"local CO2 flux in Park Falls, US","Does changing temperature cause a change in local CO2 flux in Park Falls, US? Please answer in a single word: Yes or No."
"pair0083,","local CO2 flux in Park Falls, US",temperature,"Does changing local CO2 flux in Park Falls, US cause a change in temperature? Please answer in a single word: Yes or No."
"pair0084,",employment,population,Does changing employment cause a change in population? Please answer in a single word: Yes or No.
"pair0084,",population,employment,Does changing population cause a change in employment? Please answer in a single word: Yes or No.
"pair0085,",time of measurement,protein content of milk,Does changing time of measurement cause a change in protein content of milk? Please answer in a single word: Yes or No.
"pair0085,",protein content of milk,time of measurement,Does changing protein content of milk cause a change in time of measurement? Please answer in a single word: Yes or No.
"pair0086,",the size of an apartment,its monthly rent,Does changing the size of an apartment cause a change in its monthly rent? Please answer in a single word: Yes or No.
"pair0086,",the monthly rent of an apartment,its size,Does changing the monthly rent of an apartment cause a change in its size? Please answer in a single word: Yes or No.
"pair0087,",the temperature,the total amount of snow,Does changing the temperature cause a change in the total amount of snow? Please answer in a single word: Yes or No.
"pair0087,",the total amount of snow,the temperature,Does changing the total amount of snow cause a change in the temperature? Please answer in a single word: Yes or No.
"pair0088,",the age of a child,their relative spinal bone mineral density,Does changing the age of a child cause a change in their relative spinal bone mineral density? Please answer in a single word: Yes or No.
"pair0088,",the relative spinal bone mineral density of a child,their age,Does changing the relative spinal bone mineral density of a child cause a change in their age? Please answer in a single word: Yes or No.
"pair0089,",the mass loss in October 2012 in grassland,the mass loss in April 2012 there,Does changing the mass loss in October 2012 in grassland cause a change in the mass loss in April 2012 there? Please answer in a single word: Yes or No.
"pair0089,",the mass loss in April 2012 in grassland,the mass loss in October 2012 there,Does changing the mass loss in April 2012 in grassland cause a change in the mass loss in October 2012 there? Please answer in a single word: Yes or No.
"pair0090,",the mass loss in October 2012 in forest,the mass loss in April 2012 there,Does changing the mass loss in October 2012 in forest cause a change in the mass loss in April 2012 there? Please answer in a single word: Yes or No.
"pair0090,",the mass loss in April 2012 in forest,the mass loss in October 2012 there,Does changing the mass loss in April 2012 in forest cause a change in the mass loss in October 2012 there? Please answer in a single word: Yes or No.
"pair0091,",the clay content in soil,its soil moisture,Does changing the clay content in soil cause a change in its soil moisture? Please answer in a single word: Yes or No.
"pair0091,",the soul moisture,its clay content in soil,Does changing the soul moisture cause a change in its clay content in soil? Please answer in a single word: Yes or No.
"pair0092,",the organic carbon in soil,the clay content in soil,Does changing the organic carbon in soil cause a change in the clay content in soil? Please answer in a single word: Yes or No.
"pair0092,",the clay content in soil,the organic carbon in soil,Does changing the clay content in soil cause a change in the organic carbon in soil? Please answer in a single word: Yes or No.
"pair0093,",the precipitation,the runoff in river catchment areas,Does changing the precipitation cause a change in the runoff in river catchment areas? Please answer in a single word: Yes or No.
"pair0093,",the runoff,the precipitation in river catchment areas,Does changing the runoff cause a change in the precipitation in river catchment areas? Please answer in a single word: Yes or No.
"pair0094,",the hour of day,the temperature,Does changing the hour of day cause a change in the temperature? Please answer in a single word: Yes or No.
"pair0094,",the temperature,the hour of day,Does changing the temperature cause a change in the hour of day? Please answer in a single word: Yes or No.
"pair0095,",the hour of day,the electricity load in a region,Does changing the hour of day cause a change in the electricity load in a region? Please answer in a single word: Yes or No.
"pair0095,",the electricity load in a region,the hour of day,Does changing the electricity load in a region cause a change in the hour of day? Please answer in a single word: Yes or No.
"pair0096,",the temperature,the electricity load in a region,Does changing the temperature cause a change in the electricity load in a region? Please answer in a single word: Yes or No.
"pair0096,",the electricity load in a region,the temperature,Does changing the electricity load in a region cause a change in the temperature? Please answer in a single word: Yes or No.
"pair0097,",a ball's speed at the beginning of a ball track,its speed at the end of the track,does changing a ball's speed at the beginning of a ball track cause a change in its speed at the end of the track? Please answer in a single word: Yes or No.
"pair0097,",a ball's speed at the end of a ball track,its speed at the beginning of the track,does changing a ball's speed at the end of a ball track cause a change in its speed at the beginning of the track? Please answer in a single word: Yes or No.
"pair0098,",a ball's speed at the beginning of a ball track with an acceleration zone,its speed at the end of the track,does changing a ball's speed at the beginning of a ball track with an acceleration zone cause a change in its speed at the end of the track? Please answer in a single word: Yes or No.
"pair0098,",a ball's speed at the end of a ball track with an acceleration zone,its speed at the beginning of the track,does changing a ball's speed at the end of a ball track with an acceleration zone cause a change in its speed at the beginning of the track? Please answer in a single word: Yes or No.
"pair0099,",the language test score of a student,the social-economic status of their family,does changing the language test score of a student cause a change in the social-economic status of their family?  Please answer in a single word: Yes or No.
"pair0099,",the social-economic status of a student's family,their language test score,does changing the social-economic status of a student's family cause a change in their language test score?  Please answer in a single word: Yes or No.
"pair0100,",the cycle time of a CPU,its performance on a benchmark mix,does changing the cycle time of a CPU cause a change in its performance on a benchmark mix?  Please answer in a single word: Yes or No.
"pair0100,",the performance of a CPU on a benchmark mix,its cycle time,does changing the performance of a CPU on a benchmark mix cause a change in its cycle time?  Please answer in a single word: Yes or No.
"pair0101,",the grey value of a pixel,the brightness of the screen,does changing the grey value of a pixel cause a change in the brightness of the screen? Please answer in a single word: Yes or No.
"pair0101,",the brightness of the screen,the grey value of a pixel,does changing the brightness of the screen cause a change in the grey value of a pixel? Please answer in a single word: Yes or No.
"pair0102,",the initial position of the ball in a ball track,the time interval between passing the first and the second light barrier of the track,does changing the initial position of the ball in a ball track cause a change in the time interval between passing the first and the second light barrier of the track? Please answer in a single word: Yes or No.
"pair0102,",the time interval between passing the first and the second light barrier of a ball track,the initial position of the ball in the track,does changing the time interval between passing the first and the second light barrier of a ball track cause a change in the initial position of the ball in the track? Please answer in a single word: Yes or No.
"pair0103,",the initial position of the ball in a ball track,the time interval between passing the third and the fourth light barrier of the track,does changing the initial position of the ball in a ball track cause a change in the time interval between passing the third and the fourth light barrier of the track? Please answer in a single word: Yes or No.
